Name,ICO,Max,ROI
Ignis,0.0391,2.30446,5793.75%
Groestlcoin,0.0,2.27107,N/A
SIRIN LABS Token,0.0,3.61733,N/A
Dynamic Trading Rights,0.0,0.235995,N/A
GameCredits,0.0,6.61016,N/A
Docademic,0.0,0.436309,N/A
Genaro Network,0.15,1.2717,747.80%
Jibrel Network,0.0,0.632712,N/A
Metal,0.0,13.8581,N/A
Raiden Network Token,0.0,8.03909,N/A
Po.et,0.0064,0.221729,3364.51%
BLOCKv,0.0207,0.310511,1400.05%
MediShares,0.0,0.257794,N/A
THEKEY,0.0,0.040382,N/A
DATA,0.0109,0.0607473,457.31%
Ink,0.0,0.938002,N/A
DEW,0.0,3.69745,N/A
TokenPay,0.0,10.7879,N/A
Apex,0.0,0.331895,N/A
Crypterium,0.75,2.98354,297.80%
Ubiq,0.0,6.77442,N/A
NavCoin,0.0,4.60416,N/A
Storiqa,0.007,0.02102,200.28%
BridgeCoin,0.0,9.48721,N/A
Streamr DATAcoin,0.0,0.359229,N/A
Cube,0.0,0.0265789,N/A
OriginTrail,0.1,0.459713,359.71%
Bitcore,0.0,38.8954,N/A
Ambrosus,0.3,1.71763,472.54%
Primecoin,0.0,7.26715,N/A
CRYPTO20,1.0,3.93029,293.02%
CyberVein,0.0,0.0857149,N/A
Genesis Vision,1.0,42.7347,4173.46%
Zebi,0.0333,0.22546,577.05%
Bodhi,0.37,1.64901,345.67%
Peercoin,0.0,9.59958,N/A
TomoChain,0.0,2.271,N/A
EDUCare,0.0,0.190254,N/A
ZClassic,0.0,235.318,N/A
ETHLend,0.0173,0.439732,2441.80%
Telcoin,0.0013,0.0117804,806.18%
Red Pulse,0.0358,0.772854,2058.81%
OST,0.0,1.27243,N/A
IoT Chain,0.0,9.14804,N/A
Edgeless,0.0,2.86567,N/A
AdEx,0.0,3.41791,N/A
Burst,0.0,0.10763,N/A
Republic Protocol,0.0571,0.139213,143.80%
Banca,0.002,0.00571202,185.60%
Pillar,0.0,1.8091,N/A
Electra,0.0,0.00818428,N/A
Quantum Resistant Ledger,0.0,3.70422,N/A
Bread,0.78,3.29177,322.02%
DAEX,0.0,0.201662,N/A
Rock,0.0,0.263061,N/A
Eidoo,0.0,6.91033,N/A
Litecoin Cash,0.0,7.12795,N/A
DecentBet,0.0,0.700647,N/A
Ripio Credit Network,0.0743,0.489884,559.33%
Hydro Protocol,0.0,0.282761,N/A
PayPie,0.34,3.68516,983.87%
BitBay,0.0,0.344405,N/A
Einsteinium,0.0,2.6322,N/A
AirSwap,0.3,1.92946,543.15%
SaluS,0.0,120.081,N/A
CloakCoin,0.0,31.2118,N/A
Oyster,0.0,4.29813,N/A
BABB,0.0012,0.00302782,152.31%
Dai,0.0,1.17063,N/A
TrueUSD,0.0,1.32263,N/A
district0x,0.0,0.400902,N/A
SingularDTV,0.0,0.412861,N/A
Internet Node Token,0.0,1.03077,N/A
Ravencoin,0.0,0.0697737,N/A
SpankChain,0.0,0.633762,N/A
NANJCOIN,0.0,0.00453022,N/A
Viacoin,0.0,7.04769,N/A
bitCNY,0.0,0.491865,N/A
Gulden,0.0,0.456276,N/A
HTMLCOIN,0.0,0.00628168,N/A
Experience Points,0.0,0.00525009,N/A
Wings,0.0,2.09303,N/A
UTRUST,0.065,1.39783,2050.50%
Safe Exchange Coin,0.0,0.109411,N/A
KuCoin Shares,0.0,20.6053,N/A
Datawallet,0.18,0.152151,-15.47%
INS Ecosystem,2.54,10.9272,330.20%
WePower,0.13,0.283675,118.21%
ION,0.0,7.12414,N/A
DATx,0.0353,0.0581181,64.64%
NAGA,0.0,4.24113,N/A
MinexCoin,0.0,57.9612,N/A
FuzeX,0.0755,0.100357,32.92%
LinkEye,0.0,0.172454,N/A
Pura,0.0,1.057,N/A
Primas,0.0,1.17644,N/A
Havven,0.67,0.778992,16.26%
WhiteCoin,0.0,0.282368,N/A
Stakenet,0.0,0.519955,N/A
WaBi,0.24,5.57959,2224.82%
Wagerr,0.0,0.959503,N/A
Zeepin,0.13,0.20263,55.86%
AppCoins,0.27,4.20316,1456.72%
Soarcoin,0.0,0.0634137,N/A
Odyssey,0.0119,0.110455,828.19%
Tierion,0.071,0.393563,454.31%
TokenCard,0.0,3.89494,N/A
BitRent,0.0,0.073153,N/A
YEE,0.0,0.0579165,N/A
CPChain,0.1,0.419146,319.14%
Tokenomy,0.0,0.424344,N/A
Modum,1.0,11.5299,1052.99%
Trinity Network Credit,0.0,0.400376,N/A
KickCoin,0.0,0.27838,N/A
VIBE,0.0,2.42109,N/A
SelfSell,0.0,0.161092,N/A
Counterparty,0.0,85.5883,N/A
LBRY Credits,0.0,1.85093,N/A
DECENT,0.0,3.35586,N/A
MobileGo,0.76,3.17975,318.38%
Metaverse ETP,0.0,5.96381,N/A
Trade Token,0.0,1.69609,N/A
TokenClub,0.0,0.0965767,N/A
Zoin,0.0,3.70595,N/A
QunQun,0.0,0.138074,N/A
Unobtanium,0.0,379.217,N/A
Etherparty,0.1,0.431433,331.43%
Datum,0.0192,0.134995,603.09%
Cashaa,0.0,0.191244,N/A
Qbao,0.0,2.19217,N/A
ODEM,0.0,0.265561,N/A
Blox,0.0,0.283073,N/A
QLINK,0.0,1.2508,N/A
Electrify.Asia,0.08,0.205693,157.11%
Lunyr,0.0,61.153,N/A
FairCoin,0.0,1.4858,N/A
Alphacat,0.0,0.0203911,N/A
Legolas Exchange,0.0,0.334133,N/A
Aeon,0.0,8.98538,N/A
Feathercoin,0.0,1.29163,N/A
Triggers,0.0,8.85002,N/A
TaaS,0.0,11.573,N/A
Steem Dollars,0.0,22.1174,N/A
Namecoin,0.0,13.1059,N/A
Dock,0.0,0.237627,N/A
YOYOW,0.0,0.578252,N/A
Melon,0.0,256.371,N/A
Presearch,0.2,0.805999,302.99%
ECC,0.0,0.00387313,N/A
Shift,0.0,11.3384,N/A
OracleChain,0.0,1.19079,N/A
Cobinhood,0.0,1.52398,N/A
Mobius,0.16,0.465476,190.92%
U Network,0.0,0.00862219,N/A
Universa,0.01,0.0547123,447.12%
bitqy,0.0,0.0944959,N/A
Viberate,0.1,0.7146,614.60%
Sentinel,0.0,0.0276102,N/A
Spectre.ai Dividend Token,0.0,2.20639,N/A
Neurotoken,0.0,0.716657,N/A
Phore,0.0,8.7183,N/A
Humaniq,0.0,0.615494,N/A
BlockMason Credit Protocol,0.0,2.23394,N/A
Elastic,0.0,1.18046,N/A
Medicalchain,0.0,0.399511,N/A
Propy,0.0,5.71602,N/A
ColossusXT,0.0,0.0223688,N/A
Fortuna,0.0,0.229075,N/A
STK,0.0,0.314597,N/A
Sentinel Chain,0.08,0.219589,174.48%
Refereum,0.021,0.0328816,56.57%
BrahmaOS,0.0,0.170881,N/A
FirstBlood,0.0,2.61385,N/A
Bankex,0.0,2.83244,N/A
Stox,0.0,2.70407,N/A
DeepOnion,0.0,18.757,N/A
Lamden,0.091,1.30963,1339.15%
iXledger,0.0,3.96463,N/A
Aurora DAO,0.0,0.556188,N/A
Decision Token,0.0,5.49726,N/A
Zeusshield,0.0,0.0854713,N/A
SunContract,0.0,0.630186,N/A
Cofound.it,0.12,0.437037,264.19%
Hive Project,0.0,0.385894,N/A
Bloom,1.16,2.15092,85.42%
ugChain,0.0,0.19574,N/A
Bitcoin Green,0.0,11.5267,N/A
CasinoCoin,0.0,0.00344415,N/A
XTRABYTES,0.0,0.776779,N/A
COSS,0.0,2.914,N/A
PotCoin,0.0,0.425468,N/A
DAOstack,1.0,1.36236,36.23%
PRIZM,0.0,2.5085,N/A
SwftCoin,0.0,0.0891226,N/A
Mothership,0.0,0.576636,N/A
Synereo,0.0,1.05014,N/A
adToken,0.0,0.229193,N/A
Lykke,0.0,0.416258,N/A
Unikoin Gold,0.0,2.1809,N/A
Pepe Cash,0.0,0.127481,N/A
Proxeus,0.0,0.271616,N/A
Unibright,0.14,0.203797,45.56%
Energo,0.0,0.311605,N/A
Bean Cash,0.0,0.0401688,N/A
Everex,2.1,5.93813,182.76%
XinFin Network,0.0,0.0166071,N/A
