Name,ICO,Max,ROI
Ixcoin,0.0,0.699596,N/A
Altcoin,0.0,200.923,N/A
VeriumReserve,0.0,17.0669,N/A
Hush,0.0,19.0502,N/A
eBoost,0.0,2.39453,N/A
Riecoin,0.0,0.565379,N/A
Bitcloud,0.0,1.23963,N/A
Sexcoin,0.0,0.237568,N/A
Interstellar Holdings,0.0,0.337246,N/A
Terracoin,0.0,1.49268,N/A
Commodity Ad Network,0.0,0.442914,N/A
Starbase,0.1,1.78811,1688.11%
AurumCoin,0.0,53.487,N/A
Fabric Token,0.0,0.191653,N/A
Privatix,3.33,18.9873,470.18%
Parkgene,0.0,0.0186809,N/A
Masari,0.0,2.00744,N/A
Breakout,0.0,1.23535,N/A
COPYTRACK,1.19,0.40822,-65.69%
Transcodium,0.0,0.183979,N/A
LOCIcoin,0.0,0.877547,N/A
vSlice,0.0,1.185,N/A
Vezt,0.5,4.21546,743.09%
Bonpay,0.0,2.97599,N/A
RefToken,0.0,57.5465,N/A
Upfiring,0.0,2.74185,N/A
CannabisCoin,0.0,0.35993,N/A
ZrCoin,0.0,75.5572,N/A
SyncFab,0.12,0.0568327,-52.63%
BlueCoin,0.0,0.0169249,N/A
Ethorse,0.0,0.284421,N/A
Stellite,0.0,0.00166541,N/A
BelugaPay,0.0,0.753264,N/A
Experty,1.05,0.685094,-34.75%
Creditbit,0.0,2.66455,N/A
Tracto,0.0,1.98179,N/A
Chainium,0.0664,0.164779,148.16%
Zephyr,0.0,0.117775,N/A
Daneel,0.0,0.451501,N/A
Lampix,0.11,0.316771,187.97%
StarterCoin,0.0,0.0549947,N/A
EncryptoTel [WAVES],0.0,0.574499,N/A
Autonio,0.0,0.853422,N/A
Sociall,0.0,1.14083,N/A
FORCE,0.0,0.355357,N/A
CryptoPing,0.0,1.19668,N/A
Maverick Chain,0.0,0.200646,N/A
Ignition,0.0,42.3396,N/A
Aigang,0.35,4.84254,1283.58%
RussiaCoin,0.0,6.53426,N/A
HiCoin,0.0,0.0907065,N/A
BlitzPredict,0.0,0.0155446,N/A
DigiPulse,0.0,13.3877,N/A
BiblePay,0.0,0.012806,N/A
Jiyo,0.0,0.196303,N/A
GCN Coin,0.0,0.000204212,N/A
EverGreenCoin,0.0,0.791002,N/A
CampusCoin,0.0,0.0550741,N/A
Elite,0.0,0.00110984,N/A
Uniform Fiscal Object,0.0,0.00593311,N/A
EventChain,0.0,1.16046,N/A
MicroMoney,1.0,2.42111,142.11%
1World,0.0,0.584081,N/A
Social Send,0.0,1.03188,N/A
DCORP,0.0,2.99458,N/A
Signals Network,0.0,0.032779,N/A
TeslaCoin,0.0,0.142644,N/A
AudioCoin,0.0,0.0403897,N/A
Rupee,0.0,0.82913,N/A
Verify,0.23,4.51106,1861.33%
Indorse Token,0.0,0.344786,N/A
Ace,0.0,1.90274,N/A
e-Gulden,0.0,0.53803,N/A
XGOX,0.0,0.0270266,N/A
STRAKS,0.0,40.7368,N/A
VeriME,0.0,0.150678,N/A
Magi,0.0,1.86717,N/A
HunterCoin,0.0,0.869166,N/A
Bitswift,0.0,2.31853,N/A
Live Stars,0.0,0.102205,N/A
KekCoin,0.0,0.486733,N/A
EtherSportz,0.0,0.647282,N/A
GoldMint,0.0,6.35336,N/A
Primalbase Token,0.0,10776.5,N/A
TrustPlus,0.0,0.389077,N/A
Pylon Network,0.0,43.2917,N/A
Ergo,0.0,22.8174,N/A
Creativecoin,0.0,1.26092,N/A
Coinlancer,0.25,0.509644,103.85%
MagicCoin,0.0,114.874,N/A
PutinCoin,0.0,0.0432222,N/A
Condensate,0.0,0.137257,N/A
Yocoin,0.0,0.343787,N/A
TrezarCoin,0.0,0.482954,N/A
Zero,0.0,12.0538,N/A
Universe,0.0,0.641962,N/A
IntenseCoin,0.0,0.0884456,N/A
Hat.Exchange,0.0,24.8048,N/A
ChainCoin,0.0,6.59317,N/A
The Cypherfunks,0.0,0.000147825,N/A
Argentum,0.0,0.938285,N/A
TokenStars,0.0,0.457489,N/A
HireMatch,0.0,0.13495,N/A
Rupaya,0.0,0.405139,N/A
Capricoin,0.0,2.79059,N/A
BuzzCoin,0.0,0.00260272,N/A
Version,0.0,0.018132,N/A
Magnet,0.0,2.74063,N/A
Qvolta,0.31,2.79581,801.87%
NobleCoin,0.0,0.0133385,N/A
Origami,0.0,1.64854,N/A
Datarius Credit,0.0,0.0208576,N/A
CryCash,0.0,0.754276,N/A
Ellaism,0.0,4.43034,N/A
Linx,0.0,0.849673,N/A
United Crypto Community,0.0,8.78474,N/A
LiteDoge,0.0,0.000754038,N/A
BoutsPro,0.0,0.0387484,N/A
DigitalPrice,0.0,0.420482,N/A
FLiK,0.0,0.318597,N/A
Deutsche eMark,0.0,0.508432,N/A
EquiTrader,0.0,1.36774,N/A
SkinCoin,0.0,0.0641809,N/A
onG.social,0.0,2.55937,N/A
eBitcoin,0.0,1.91199,N/A
Tidex Token,0.0,0.906305,N/A
Earth Token,0.0,0.0496108,N/A
UnbreakableCoin,0.0,3.35945,N/A
Biotron,0.0,0.0937753,N/A
Blocklancer,0.0,0.0637649,N/A
VIVO,0.0,14.6005,N/A
Bitdeal,0.0,0.703028,N/A
SmileyCoin,0.0,0.000576392,N/A
42-coin,0.0,1013620.0,N/A
Bytecent,0.0,3.00613,N/A
Innova,0.0,16.905,N/A
Obsidian,0.0,2.62522,N/A
PlusCoin,0.0,0.0045998,N/A
Bitzeny,0.0,0.401199,N/A
APR Coin,0.0,6.8552,N/A
Wild Crypto,0.0,1.53808,N/A
808Coin,0.0,0.00486776,N/A
Speed Mining Service,0.0,159.019,N/A
Tigereum,0.0,0.401293,N/A
Chronologic,0.0,12.7388,N/A
TokenDesk,0.0,0.932144,N/A
Machinecoin,0.0,0.220185,N/A
WandX,0.0,1.32461,N/A
BunnyCoin,0.0,0.000123254,N/A
IncaKoin,0.0,0.00608632,N/A
PopularCoin,0.0,0.0034326,N/A
BitWhite,0.0,0.943438,N/A
Megacoin,0.0,2.60243,N/A
DraftCoin,0.0,6.61781,N/A
I0Coin,0.0,0.175447,N/A
Unitus,0.0,0.126398,N/A
Onix,0.0,0.535112,N/A
Centra,0.0,4.2754,N/A
Shekel,0.0,0.149581,N/A
Advanced Technology Coin,0.0,0.347591,N/A
Monster Byte,0.0,0.213443,N/A
Nitro,0.0,1.52825,N/A
WeAreSatoshi,0.0,0.0575225,N/A
bitJob,0.39,0.240133,-38.42%
PHI Token,0.0,0.621862,N/A
MAZA,0.0,0.0834004,N/A
Plancoin,0.0,0.346805,N/A
PetroDollar,0.0,0.10907,N/A
Cryptonite,0.0,0.0744115,N/A
Kolion,0.0,9.12915,N/A
Legends Room,0.0,5.75721,N/A
Fantasy Cash,0.0,2.91375,N/A
Miners' Reward Token,0.0,0.62406,N/A
Equal,0.0,0.0200972,N/A
Soma,0.74,1.20121,62.32%
PlatinumBAR,0.0,4.51094,N/A
Oceanlab,0.0,0.148476,N/A
Zetacoin,0.0,0.0882323,N/A
SagaCoin,0.0,24.2759,N/A
Masternodecoin,0.0,0.464055,N/A
ProCurrency,0.0,0.364668,N/A
Emphy,0.0,1.24151,N/A
InsaneCoin,0.0,0.451054,N/A
RouletteToken,0.0,0.854787,N/A
Adzcoin,0.0,0.161113,N/A
UniCoin,0.0,0.617695,N/A
MCAP,0.0,7.85947,N/A
Centurion,0.0,0.251029,N/A
Bata,0.0,1.20433,N/A
Vulcano,0.0,0.0385554,N/A
FujiCoin,0.0,0.00687847,N/A
Moin,0.0,1.29238,N/A
Startcoin,0.0,0.487771,N/A
Aerium,0.0,2.64374,N/A
Numus,0.0,41.7837,N/A
PiplCoin,0.0,0.11443,N/A
DRP Utility,0.0,1.19458,N/A
InflationCoin,0.0,0.000175106,N/A
Authorship,0.0,0.128315,N/A
Happycoin,0.0,0.362929,N/A
Qbic,0.0,33.1248,N/A
ELTCOIN,0.0,0.207699,N/A
Suretly,0.0,16.1704,N/A
Elcoin,0.0,0.297713,N/A
Guncoin,0.0,0.0278036,N/A
Jetcoin,0.0,1.08219,N/A
BigUp,0.0,0.00160999,N/A
Growers International,0.0,4.90032,N/A
Fastcoin,0.0,0.0490132,N/A
Phoenixcoin,0.0,0.102731,N/A
ArbitrageCT,0.0,0.0992675,N/A
Intelligent Trading Foundation,0.0,1.29889,N/A
GreenMed,0.0,0.398715,N/A
AdCoin,0.0,0.474264,N/A
Bitsum,0.0,0.00289231,N/A
Bitradio,0.0,1.31563,N/A
Minereum,0.0,12.8231,N/A
Veros,0.0,0.112338,N/A
Triangles,0.0,43.9874,N/A
Sugar Exchange,0.0,1.1231,N/A
Accelerator Network,0.0,27.4724,N/A
Elementrem,0.0,0.195533,N/A
CryptoCarbon,0.0,3.72693,N/A
Zilbercoin,0.0,6.44165,N/A
Bitgem,0.0,56.1787,N/A
bitBTC,0.0,23544.4,N/A
Octoin Coin,0.0,19.6574,N/A
Leviar,0.0,0.809374,N/A
Cabbage,0.0,0.0549802,N/A
DROXNE,0.0,0.0750744,N/A
Golfcoin,0.0,0.000889638,N/A
Litecoin Plus,0.0,3.62361,N/A
Digital Money Bits,0.0,0.148352,N/A
WhaleCoin,0.0,0.689423,N/A
Escroco,0.0,4.75122,N/A
Senderon,0.0,0.0502974,N/A
Tattoocoin (Standard Edition),0.0,0.0194216,N/A
BlazeCoin,0.0,0.00320852,N/A
Bitair,0.0,0.024846,N/A
TEKcoin,0.0,0.492371,N/A
LiteBar,0.0,1.79663,N/A
Phantomx,0.0,0.353165,N/A
WCOIN,0.0,0.335324,N/A
BriaCoin,0.0,12.6101,N/A
bitGold,0.0,2102.51,N/A
Pakcoin,0.0,0.0479068,N/A
CarTaxi Token,0.0,0.163913,N/A
Grimcoin,0.0,0.0433051,N/A
Crystal Clear ,0.0,2.74295,N/A
DaxxCoin,0.0,0.0891841,N/A
WavesGo,0.0,0.560816,N/A
Garlicoin,0.0,3.2841,N/A
Zlancer,0.0,2.57149,N/A
OP Coin,0.0,0.0903599,N/A
Bitcoin Red,0.0,0.502117,N/A
GlobalBoost-Y,0.0,0.0848594,N/A
FirstCoin,0.0,17.8736,N/A
Tokugawa,0.0,7.00022,N/A
TOKYO,0.0,0.0259283,N/A
Ethereum Gold,0.0,0.448512,N/A
PostCoin,0.0,0.106769,N/A
Scorecoin,0.0,0.27299,N/A
ReeCoin,0.0,0.204543,N/A
Steneum Coin,0.0,2.6412,N/A
Kubera Coin,0.0,0.175877,N/A
SpeedCash,0.0,3.60288,N/A
Polcoin,0.0,0.0117639,N/A
Jin Coin,0.0,0.11075,N/A
ERC20,0.0,0.0179184,N/A
RedCoin,0.0,0.0258884,N/A
DigitalDevelopersFund,0.0,0.481251,N/A
YENTEN,0.0,1.29062,N/A
bitEUR,0.0,1.72664,N/A
Peerguess,0.0,0.484982,N/A
Octanox,0.0,0.843715,N/A
Desire,0.0,4.98694,N/A
SixEleven,0.0,2.69478,N/A
MustangCoin,0.0,1.04093,N/A
AmsterdamCoin,0.0,0.0538032,N/A
Safe Trade Coin,0.0,0.0271547,N/A
EagleCoin,0.0,0.504511,N/A
MACRON,0.0,0.0157841,N/A
Coin2.1,0.0,0.0182789,N/A
Catcoin,0.0,0.783206,N/A
Ethereum Dark,0.0,5.00452,N/A
Beatcoin,0.0,0.353152,N/A
Solarflarecoin,0.0,0.0419906,N/A
HomeBlockCoin,0.0,13.2216,N/A
BitAsean,0.0,0.459146,N/A
GoldPieces,0.0,0.38348,N/A
LiteBitcoin,0.0,0.0552579,N/A
Coinonat,0.0,0.169402,N/A
Comet,0.0,0.694358,N/A
CrowdCoin,0.0,38.0802,N/A
VapersCoin,0.0,0.000852847,N/A
AllSafe,0.0,0.0920327,N/A
Pioneer Coin,0.0,0.96408,N/A
Master Swiscoin,0.0,0.494221,N/A
Asiadigicoin,0.0,1.59313,N/A
Royal Kingdom Coin,0.0,7.37485,N/A
GeyserCoin,0.0,0.845636,N/A
PRCoin,0.0,0.0549731,N/A
Coupecoin,0.0,0.00102239,N/A
WomenCoin,0.0,0.0223349,N/A
CrevaCoin,0.0,0.113899,N/A
Project-X,0.0,2530660.0,N/A
HarmonyCoin,0.0,0.0622906,N/A
POLY AI,0.0,21.397,N/A
FuturXe,0.0,2.33916,N/A
MUSE,0.0,1.98178,N/A
Guaranteed Ethurance Token Extra,0.0,0.140208,N/A
Hedge,0.0,14.0527,N/A
SRCOIN,0.0,0.00511319,N/A
Ecobit,0.0,0.146281,N/A
KiloCoin,0.0,0.261945,N/A
AsiaCoin,0.0,0.0422759,N/A
Atmos,0.0,0.2838,N/A
Xenon,0.0,0.57493,N/A
TrakInvest,0.0,0.298798,N/A
Goodomy,0.0,0.0215447,N/A
PoSW Coin,0.0,1.02044,N/A
Starta,0.0,2.10569,N/A
Sharpe Platform Token,0.0,0.310736,N/A
Quark,0.0,0.246855,N/A
E-coin,0.0,77.7001,N/A
LuckChain,0.0,0.0506053,N/A
Mercury Protocol,0.043,0.265459,517.34%
Ties.DB,0.0,0.671544,N/A
Bullion,0.0,6.87157,N/A
Triaconta,0.0,46.5771,N/A
imbrex,0.0,3.26665,N/A
Sense,0.1,0.0692296,-30.77%
FlypMe,0.0,2.36909,N/A
Darcrus,0.0,0.731856,N/A
Vsync,0.0,0.275643,N/A
Ethbits,0.0,7.39183,N/A
Kobocoin,0.0,0.186769,N/A
Bowhead,0.0,2.37657,N/A
Jesus Coin,0.0,0.00140886,N/A
MarteXcoin,0.0,7.82072,N/A
NEVERDIE,0.0,0.308207,N/A
Carboncoin,0.0,0.00189198,N/A
Digitalcoin,0.0,0.698757,N/A
Farad,0.0,0.206282,N/A
Canada eCoin,0.0,0.0585805,N/A
Ethereum Movie Venture,0.0,3.59272,N/A
Orbitcoin,0.0,1.32205,N/A
WorldCoin,0.0,0.831638,N/A
FundYourselfNow,0.0,27.9557,N/A
InPay,0.0,0.4172,N/A
Sovereign Hero,0.0,250.059,N/A
Shorty,0.0,0.024323,N/A
Musiconomi,0.0,0.274191,N/A
Fantomcoin,0.0,0.568595,N/A
Woodcoin,0.0,0.391474,N/A
Zennies,0.0,0.00419984,N/A
FlutterCoin,0.0,0.0241515,N/A
Etheriya,0.0,3.46215,N/A
Renos,0.0,0.240576,N/A
Embers,0.0,0.418749,N/A
StarCredits,0.0,1.06478,N/A
Dinastycoin,0.0,0.00729779,N/A
Blitzcash,0.0,5.33828,N/A
Bitpark Coin,0.0,0.140325,N/A
MetalCoin,0.0,0.0327377,N/A
NetCoin,0.0,0.0296113,N/A
Global Jobcoin,0.0,35.6023,N/A
Piggycoin,0.0,0.0396538,N/A
Unify,0.0,0.67053,N/A
ShadowCash,0.0,4.81115,N/A
Cream,0.0,0.136549,N/A
Skeincoin,0.0,0.239498,N/A
Netko,0.0,0.800109,N/A
Truckcoin,0.0,0.0175239,N/A
UltraCoin,0.0,0.710041,N/A
LanaCoin,0.0,0.00517753,N/A
BritCoin,0.0,3.8015,N/A
AquariusCoin,0.0,0.869046,N/A
DeusCoin,0.0,0.787827,N/A
BTCtalkcoin,0.0,0.0298471,N/A
HoboNickels,0.0,0.237279,N/A
ParallelCoin,0.0,3.6153,N/A
QubitCoin,0.0,0.0182329,N/A
bitSilver,0.0,96.7952,N/A
Trollcoin,0.0,0.00712821,N/A
BlockPay,0.0,0.649908,N/A
ICO OpenLedger,0.0,13.6696,N/A
Cashcoin,0.0,0.0501448,N/A
iTicoin,0.0,80.8561,N/A
SuperCoin,0.0,0.251396,N/A
Bitcoin Scrypt,0.0,0.576584,N/A
EthBet,0.0,0.845368,N/A
BitBar,0.0,200.867,N/A
Bit20,0.0,1702440.0,N/A
Ultimate Secure Cash,0.0,0.341634,N/A
Halcyon,0.0,1.58468,N/A
Mao Zedong,0.0,0.322691,N/A
BitTokens,0.0,10.6577,N/A
Billionaire Token,0.0,1.46915,N/A
Ethereum Cash,0.0,1.27866,N/A
NuShares,0.0,0.0225181,N/A
VoteCoin,0.0,0.123518,N/A
iEthereum,0.0,0.383647,N/A
TagCoin,0.0,3.11315,N/A
Nyancoin,0.0,0.014763,N/A
TittieCoin,0.0,0.00521959,N/A
Opal,0.0,0.175951,N/A
Newbium,0.0,0.0354846,N/A
Synergy,0.0,6.62184,N/A
Aricoin,0.0,0.022994,N/A
TrumpCoin,0.0,0.844572,N/A
HOdlcoin,0.0,0.079955,N/A
Joincoin,0.0,1.64335,N/A
EBCH,0.0,0.255774,N/A
KushCoin,0.0,0.375082,N/A
Dashcoin,0.0,0.0968932,N/A
Joulecoin,0.0,0.138295,N/A
Flycoin,0.0,5.122,N/A
Blakecoin,0.0,0.13736,N/A
OctoCoin,0.0,0.034183,N/A
Regalcoin,0.0,88.1027,N/A
Atomic Coin,0.0,0.258987,N/A
CryptoInsight,0.0,0.271053,N/A
Granite,0.0,0.0392895,N/A
Sterlingcoin,0.0,0.289259,N/A
MojoCoin,0.0,0.277224,N/A
Motocoin,0.0,0.097932,N/A
IslaCoin,0.0,0.383539,N/A
Marscoin,0.0,0.0472431,N/A
Dix Asset,0.0,2.0221,N/A
Tigercoin,0.0,0.0395311,N/A
iCoin,0.0,0.0865265,N/A
Eternity,0.0,1.3281,N/A
8Bit,0.0,1.66019,N/A
Bitz,0.0,1.37159,N/A
Titcoin,0.0,0.0648215,N/A
Prototanium,0.0,9.40556,N/A
Datacoin,0.0,1.06901,N/A
Manna,0.0,0.0734719,N/A
Evil Coin,0.0,0.0952099,N/A
IrishCoin,0.0,0.116401,N/A
PureVidz,0.0,0.0638752,N/A
ChessCoin,0.0,0.0202448,N/A
PayCoin,0.0,13.1639,N/A
Bitstar,0.0,0.104551,N/A
Influxcoin,0.0,2.93774,N/A
Gapcoin,0.0,0.159464,N/A
Darsek,0.0,0.0753271,N/A
SecureCoin,0.0,1.11772,N/A
Virtacoin,0.0,0.00446865,N/A
Sativacoin,0.0,0.117918,N/A
Cryptojacks,0.0,0.0163927,N/A
C-Bit,0.0,0.020013,N/A
Philosopher Stones,0.0,0.260702,N/A
Mineum,0.0,0.151239,N/A
Bitcurrency,0.0,0.0148846,N/A
SpaceCoin,0.0,0.0874943,N/A
Abjcoin,0.0,2.48231,N/A
SmartCoin,0.0,0.200286,N/A
Bitcoin Fast,0.0,0.284136,N/A
Impact,0.0,0.00361823,N/A
Rimbit,0.0,0.853592,N/A
BoostCoin,0.0,0.593854,N/A
ParkByte,0.0,2.80974,N/A
NevaCoin,0.0,0.485238,N/A
CannaCoin,0.0,0.462267,N/A
Ratecoin,0.0,0.0131456,N/A
Bolivarcoin,0.0,0.199961,N/A
Emerald Crypto,0.0,0.0575859,N/A
GoldBlocks,0.0,0.337116,N/A
DigiCube,0.0,0.99336,N/A
Swing,0.0,0.383932,N/A
CoinonatX,0.0,0.462696,N/A
Xios,0.0,3.94696,N/A
BERNcash,0.0,0.0195293,N/A
ZoZoCoin,0.0,3.18503,N/A
PX,0.0,0.00776231,N/A
Freicoin,0.0,0.338475,N/A
RonPaulCoin,0.0,41.5112,N/A
300 Token,0.0,2680.98,N/A
SatoshiMadness,0.0,0.000459906,N/A
Bankcoin,0.0,4.2035,N/A
LeaCoin,0.0,0.00261781,N/A
AmberCoin,0.0,0.0475224,N/A
Ammo Reloaded,0.0,0.0383356,N/A
Pascal Lite,0.0,0.517631,N/A
ChanCoin,0.0,0.257303,N/A
RevolverCoin,0.0,0.0569141,N/A
GlobalToken,0.0,0.0490731,N/A
Coin(O),0.0,0.0513654,N/A
Shadow Token,0.0,0.311875,N/A
Fujinto,0.0,0.546917,N/A
Prime-XI,0.0,0.0813882,N/A
Helleniccoin,0.0,0.306203,N/A
Kurrent,0.0,0.068115,N/A
BumbaCoin,0.0,0.0337774,N/A
Quebecoin,0.0,0.152253,N/A
FinCoin,0.0,0.187401,N/A
Quatloo,0.0,0.143351,N/A
Advanced Internet Blocks,0.0,0.0714339,N/A
Nekonium,0.0,0.8893,N/A
Rubies,0.0,0.102549,N/A
SecretCoin,0.0,0.154945,N/A
HempCoin,0.0,0.00207885,N/A
GameUnits,0.0,4.60249,N/A
Theresa May Coin,0.0,0.0171326,N/A
Signatum,0.0,0.151703,N/A
GlobalCoin,0.0,0.0378516,N/A
Zurcoin,0.0,0.014275,N/A
Dalecoin,0.0,2.84921,N/A
Mincoin,0.0,0.845931,N/A
Allion,0.0,0.118629,N/A
PayCon,0.0,0.0459153,N/A
Visio,0.0,0.119534,N/A
TajCoin,0.0,0.0635064,N/A
Ccore,0.0,4.51022,N/A
Firecoin,0.0,5.51808,N/A
SOILcoin,0.0,0.12019,N/A
Neuro,0.0,0.0380093,N/A
EcoCoin,0.0,5.76002,N/A
Acoin,0.0,0.442507,N/A
Crypto,0.0,0.0764433,N/A
Global Tour Coin,0.0,0.0329924,N/A
BROTHER,0.0,0.0118387,N/A
Bitcoin Planet,0.0,0.283146,N/A
Eurocoin,0.0,0.0936657,N/A
SoonCoin,0.0,0.21499,N/A
Elysium,0.0,0.0285994,N/A
BitCoal,0.0,0.404964,N/A
Honey,0.0,5.66281,N/A
BitQuark,0.0,0.138139,N/A
JavaScript Token,0.0,0.0339192,N/A
X-Coin,0.0,0.118417,N/A
Network Token,0.0,0.126366,N/A
Digital Rupees,0.0,0.000865945,N/A
Trident Group,0.0,3.18295,N/A
Bitcoin 21,0.0,0.488863,N/A
Dollarcoin,0.0,0.258474,N/A
CacheCoin,0.0,4.77404,N/A
FUNCoin,0.0,0.478585,N/A
Money,0.0,0.0168862,N/A
PoSToken,0.0,3.32096,N/A
CompuCoin,0.0,0.0322091,N/A
High Voltage,0.0,1.65244,N/A
GuccioneCoin,0.0,0.0125913,N/A
Flaxscript,0.0,0.087572,N/A
AgrolifeCoin,0.0,0.0749126,N/A
Madcoin,0.0,1.72605,N/A
BenjiRolls,0.0,0.0256417,N/A
Chronos,0.0,0.0565419,N/A
Marijuanacoin,0.0,0.557756,N/A
BipCoin,0.0,0.322492,N/A
SongCoin,0.0,0.0198155,N/A
Bolenum,0.0,0.0885045,N/A
Virta Unique Coin,0.0,0.0677277,N/A
ICOBID,0.0,0.0127742,N/A
Debitcoin,0.0,0.016987,N/A
Shilling,0.0,0.0251928,N/A
Gold Pressed Latinum,0.0,2.00896,N/A
Useless Ethereum Token,0.0,26.1021,N/A
QuazarCoin,0.0,4.68182,N/A
Eryllium,0.0,0.438186,N/A
Kronecoin,0.0,0.351052,N/A
MindCoin,0.0,0.00892042,N/A
BnrtxCoin,0.0,0.0320777,N/A
Printerium,0.0,0.0346416,N/A
ZetaMicron,0.0,0.000639113,N/A
FuzzBalls,0.0,0.384369,N/A
Metal Music Coin,0.0,0.00872769,N/A
Luna Coin,0.0,0.637557,N/A
Uro,0.0,12.7964,N/A
Californium,0.0,0.197653,N/A
Roofs,0.0,0.00632384,N/A
ExchangeN,0.0,0.115226,N/A
Jewels,0.0,0.0269251,N/A
Veltor,0.0,3.76357,N/A
MiloCoin,0.0,0.0988829,N/A
Copico,0.0,0.607968,N/A
ARbit,0.0,0.046366,N/A
Iconic,0.0,0.530488,N/A
Interzone,0.0,0.974099,N/A
BiosCrypto,0.0,0.00789639,N/A
BOAT,0.0,0.0311653,N/A
HealthyWormCoin,0.0,0.0532225,N/A
StarCash Network,0.0,4.86068,N/A
Creatio,0.0,0.0253098,N/A
Independent Money System,0.0,0.304318,N/A
Slevin,0.0,0.00819612,N/A
Zayedcoin,0.0,0.0232325,N/A
LetItRide,0.0,0.0193689,N/A
DAPPSTER,0.0,0.00171155,N/A
GBCGoldCoin,0.0,10.0,N/A
Dreamcoin,0.0,0.124547,N/A
PIECoin,0.0,0.0448253,N/A
Cannation,0.0,0.398335,N/A
CryptoWorldX Token,0.0,0.0123413,N/A
ImpulseCoin,0.0,0.00529494,N/A
PonziCoin,0.0,0.206782,N/A
GeertCoin,0.0,0.0364343,N/A
Litecred,0.0,0.00848998,N/A
JobsCoin,0.0,0.0012592,N/A
VectorAI,0.0,0.0308615,N/A
TAGRcoin,0.0,0.00223175,N/A
Credence Coin,0.0,7.11691,N/A
KingN Coin,0.0,111.045,N/A
LiteCoin Ultra,0.0,0.792451,N/A
PLNcoin,0.0,0.0124259,N/A
Steps,0.0,0.0160543,N/A
Destiny,0.0,0.529933,N/A
PlayerCoin,0.0,0.00819937,N/A
RSGPcoin,0.0,73.841,N/A
AnarchistsPrime,0.0,1.74187,N/A
Bitvolt,0.0,0.00951772,N/A
PosEx,0.0,0.357911,N/A
BowsCoin,0.0,0.0224776,N/A
Wild Beast Block,0.0,2.6485,N/A
Dollar Online,0.0,0.153676,N/A
Rawcoin,0.0,0.0986652,N/A
GlassCoin,0.0,2.05113,N/A
Argus,0.0,0.253708,N/A
Save and Gain,0.0,0.146751,N/A
Artex Coin,0.0,0.0168857,N/A
Cthulhu Offerings,0.0,0.141021,N/A
BioBar,0.0,0.0857082,N/A
iBank,0.0,0.0222664,N/A
Selfiecoin,0.0,0.00110485,N/A
Concoin,0.0,0.0518854,N/A
NodeCoin,0.0,0.026385,N/A
Coimatic 3.0,0.0,42.1007,N/A
Coimatic 2.0,0.0,0.0377638,N/A
Vault Coin,0.0,0.0236085,N/A
Ulatech,0.0,0.348633,N/A
SocialCoin,0.0,0.248908,N/A
Magnum,0.0,0.0544884,N/A
LevoPlus,0.0,0.374985,N/A
Tristar Coin,0.0,0.0607112,N/A
Ebittree Coin,0.0,0.0617458,N/A
CaliphCoin,0.0,0.217737,N/A
CK USD,0.0,1.02214,N/A
Libra Credit,0.12,0.338325,181.93%
ATMCoin,0.0,8.72528,N/A
EduCoin,0.0,0.00616816,N/A
TrustNote,0.0,0.170358,N/A
ZIP,0.0,0.00261393,N/A
Tripio,0.0,0.0233721,N/A
Content and AD Network,0.0,0.365042,N/A
Kcash,0.0,0.303665,N/A
Penta,0.0,0.0305143,N/A
Pundi X,0.0021,0.015341,630.52%
Skrumble Network,0.0515,0.104296,102.51%
OFCOIN,0.0,0.00775072,N/A
Open Platform,0.08,0.29714,271.42%
Intelligent Investment Chain,0.0,0.0131888,N/A
APIS,0.0,0.0145956,N/A
RED,0.0,0.219263,N/A
IoTeX,0.007,0.0861141,1130.20%
CoinMeet,0.0,0.126144,N/A
Acute Angle Cloud,0.0,0.258526,N/A
Super Bitcoin,0.0,436.126,N/A
OceanChain,0.0,0.0192404,N/A
Noah Coin,0.0,0.0375315,N/A
NKN,0.13,0.539514,315.01%
Patron,0.0,0.152786,N/A
StarChain,0.0,0.16982,N/A
RealChain,0.0,0.149745,N/A
Silent Notary,0.0,0.000353259,N/A
Lightning Bitcoin,0.0,629.818,N/A
SPINDLE,0.0,0.0410613,N/A
ChatCoin,0.0,0.450536,N/A
Molecular Future,0.0,0.509259,N/A
Super Game Chain,0.0,0.00350693,N/A
Dignity,0.0,0.295979,N/A
B2Bcoin,0.0,0.0793959,N/A
TopChain,0.0,0.126478,N/A
Tokia,0.0,0.433673,N/A
Maggie,0.0,0.0803741,N/A
ValueChain,0.0,0.134305,N/A
Phantasma,0.0,0.766171,N/A
Freyrchain,0.0,0.0207594,N/A
Dragon Coins,0.0,2.38046,N/A
United Bitcoin,0.0,578.607,N/A
Influence Chain,0.0,0.602957,N/A
MyToken,0.0,0.0379304,N/A
AWARE,0.0,0.0936746,N/A
Gems ,0.0,0.0577705,N/A
Level Up Coin,0.0,0.0172328,N/A
FairGame,0.0,0.166219,N/A
BitcoinX,0.0,0.11392,N/A
Show,0.0,0.0215341,N/A
Tezos (Pre-Launch),0.0,11.2146,N/A
InsurChain,0.0,0.00230758,N/A
Exchange Union,0.0,17.277,N/A
WETH,0.0,2033.3,N/A
Hero,0.0,0.763148,N/A
UnlimitedIP,0.0,0.14095,N/A
LightChain,0.0,0.00824828,N/A
Monero Classic,0.0,24.0867,N/A
Nexty,0.0,0.00127445,N/A
iQuant,0.0,0.889377,N/A
